Issue Number,Page No's,Magazine Section,Article Title,Figure(s)
1,"4,5",Guide to Middle-earth,Aragorn - King of Men,
1,"6,7",Playing the Game,Getting Started,
1,"8,9",Battle Game,Goblin Ambush,
1,"10,11,12,13",Battle Game,How to Play (Goblin Ambush),
1,"14,15",Painting Workshop,Preparing your Models,
1,"16,17",Painting Workshop,Moria Goblins,
1,"18,19",Modelling Workshop,Making a Basic Battlefield,
1,"20,21",Modelling Workshop,Dream Battlefields,
1,,,,12 Moria Goblins + Card Insert
Issue Number,Page No's,Magazine Section,Article Title,Figure(s)
2,1,Guide to Middle-earth,Welcome to the Lands of Middle-earth (Last Alliance),
2,"2,3",Playing the Game,Characteristics,
2,"4,5",Playing the Game,Warriors of Middle Earth,
2,"6,7,8,9,10,11",Battle Game,The Last Alliance,
2,"12,13",Painting Workshop,Preparing your Models (Recap),
2,"14,15",Painting Workshop,Men of Gondor,
2,"16,17",Painting Workshop,High Elves,
2,"18,19,20",Modelling Workshop,Tools and Materials,
2,21,Modelling Workshop,Making a Simple Ruin,
2,,,,8 Elves and 4 Men of Gondor
Issue Number,Page No's,Magazine Section,Article Title,Figure(s)
3,1,Guide to Middle-earth,Welcome to the Lands of Middle-earth (The Ringwraiths),
3,"2,3,4,5,6,7",Playing the Game,Priority and Move,
3,"8,9,10,11,12,13",Battle Game,Pursuit of the Ringwraiths,
3,"14,15,16,17",Painting Workshop,Frodo Baggins,
3,"18,19,20,21",Modelling Workshop,Making a Hedgerow,
3,,,,Frodo Baggins + Card Insert
Issue Number,Page No's,Magazine Section,Article Title,Figure(s)
4,1,Guide to Middle-earth,Fighting Uruk-hai,
4,"2,3,4,5,6,7",Playing the Game,The Fight Phase,
4,"8,9,10,11,12,13",Battle Game,Elven Attack,
4,"14,15,16,17",Painting Workshop,Uruk-hai Warriors,
4,"18,19,20,21",Modelling Workshop,Making a Hill,
4,,,,10 Uruk-hai
Issue Number,Page No's,Magazine Section,Article Title,Figure(s)
5,1,Guide to Middle-earth,"Lurtz, Servant of Saruman",
5,"2,3,4,5,6,7",Playing the Game,The Shoot Phase,
5,"8,9,10,11,12,13",Battle Game,Hunt of the Uruk-hai,
5,"14,15,16,17",Painting Workshop,Lurtz,
5,"18,19,20,21",Modelling Workshop,Making a Gaming Area,
5,,,,Lurtz
Issue Number,Page No's,Magazine Section,Article Title,Figure(s)
6,1,Guide to Middle-earth,"Aragorn,Hero of Helm's Deep",
6,"2,3,4,5,6,7",Playing the Game,Movement and Terrain,
6,"8,9,10,11,12,13",Battle Game,Defend the Ruins,
6,"14,15,16,17",Painting Workshop,Aragorn,
6,"18,19,20,21",Modelling Workshop,Making Ruins,
6,,,,Aragorn
Issue Number,Page No's,Magazine Section,Article Title,Figure(s)
7,1,Guide to Middle-earth,Defenders of the Riddermark,
7,"2,3",Guide to Middle-earth,Coming Soon (BGiME next few issues),
7,"4,5,6,7",Playing the Game,Defending Barriers,
7,"8,9,10,11,12,13",Battle Game,Repel the Marauders!,
7,"14,15,16,17",Painting Workshop,Warriors of Rohan,
7,"18,19,20,21",Modelling Workshop,Walls and Fences,
7,,,,12 Warriors of Rohan
Issue Number,Page No's,Magazine Section,Article Title,Figure(s)
8,Fold-out Front Cover,Guide to Middle-earth,Weapons of Middle-earth,
8,1,Guide to Middle-earth,"Lothlorien,Land of Elves",
8,"2,3",Guide to Middle-earth,"Legolas, Woodland Prince",
8,4.5,Playing the Game,Missile Weapons,
8,"6,7,8,9,10,11",Battle Game,Raid on Lothlorien,
8,"12,13,14,15",Painting Workshop,Legoloas,
8,"16,17,18,19,20,21",Modelling Workshop,Trees and Forests,
8,,,,Legolas
Issue Number,Page No's,Magazine Section,Article Title,Figure(s)
9,1,Guide to Middle-earth,The Uruk-hai Invasion of Rohan,
9,"2,3,4,5",Playing the Game,Melee Weapons,
9,"6,7,8,9,10,11,12,13,",Battle Game,Burn the Village! (Turns 1-4),
9,"14,15,16",Painting Workshop,Basic Techniques,
9,17,Painting Workshop,Basic Techniques (Uruk-hai Captain),
9,"18,19,20,21",Modelling Workshop,Warning Beacon,
9,,,,Uruk-hai Captain
Issue Number,Page No's,Magazine Section,Article Title,Figure(s)
10,1,Guide to Middle-earth,The Creation of Saruman's Army,
10,"2,3,4,5",Playing the Game,Courage,
10,"6,7,8,9,10,11,12,13",Battle Game,Burn the Village! (Turns 5 -6),
10,"14,15,",Painting Workshop,Batch Painting,
10,"16,17,18,19,20,21",Modelling Workshop,A Rohirrim Building,
10,,,,10 Uruk-hai
Issue Number,Page No's,Magazine Section,Article Title,Figure(s)
11,1,Guide to Middle-earth,"Boromir,Captain of Gondor",
11,"2,3,4,5,6,7",Playing the Game,"Heroes,Might and Fate",
11,"8,9,10,11,12,13",Battle Game,Ambush at Amon Hen,
11,"14,15,16,17",Painting Workshop,Boromir,
11,"18,19,20,21",Modelling Workshop,Making a Standing Stone,
11,,,,Boromir
Issue Number,Page No's,Magazine Section,Article Title,Figure(s)
12,1,Guide to Middle-earth,Gandalf the Grey,
12,"2,3,4,5,6,7",Playing the Game,Might and Will,
12,"8,9,10,11,12,13",Battle Game,Clash of Wills,
12,"14,15,16,17",Painting Workshop,Gandalf the Grey,
12,"18,19,20,21",Modelling Workshop,A Hilltop Ruin,
12,,,,Gandalf the Grey
Issue Number,Page No's,Magazine Section,Article Title,Figure(s)
13,1,Guide to Middle-earth,The Lands of the Riddermark,
13,"2,3,4,5,6,7",Playing the Game,Battlefield Tactics,
13,"8,9,10,11",Battle Game,Wizards' Duel,
13,"12,13",Battle Game,Wizards' Duel (The Tower of Orthanc),
13,"14,15,16,17",Painting Workshop,Rohan Horses,
13,"18,19,20,21",Modelling Workshop,Scenic Details,
13,,,,6 Horses
Issue Number,Page No's,Magazine Section,Article Title,Figure(s)
14,1,Guide to Middle-earth,The Riders of Rohan,
14,"2,3,4,5,6,7",Playing the Game,Cavalry,
14,"8,9,10,11,12,13",Battle Game,Attack at the Ford,
14,"14,15,16,17",Painting Workshop,The Riders of Rohan,
14,"18,19,20,21",Modelling Workshop,Rivers and Fords,
14,,,,6 Riders of Rohan
Issue Number,Page No's,Magazine Section,Article Title,Figure(s)
15,1,Guide to Middle-earth,"Isengard, Stronghold of Saruman",
15,"2,3",Guide to Middle-earth,Master of Orthanc,
15,4,Playing the Game,Saruman the White,
15,5,Playing the Game,Gandalf the Grey,
15,"6,7,8,9,10,11,12,13",Battle Game,The Gap of Rohan (turns 1-5),
15,"14,15,16,17",Painting Workshop,Saruman the White,
15,"18,19,20,21",Modelling Workshop,Making Bridges,
15,,,,Saruman
Issue Number,Page No's,Magazine Section,Article Title,Figure(s)
TT Sp Ed,1,Guide to Middle-earth,Gandalf the White,
TT Sp Ed,"2,3,4",Battle Game,Battle for Helms Deep,
TT Sp Ed,5,Battle Game,Battle for Helms Deep (Battle Report),
TT Sp Ed,"6,7",Battle Game,Battle for Helms Deep (Charge of the Rohirrim!),
TT Sp Ed,"8,9",Battle Game,Battle for Helms Deep (Sea of Uruk-hai),
TT Sp Ed,"10,11",Battle Game,Battle for Helms Deep (The White Rider),
TT Sp Ed,"12,13",Battle Game,Battle for Helms Deep (Theoden Stands Alone),
TT Sp Ed,"14,15",Battle Game,Battle for Helms Deep (The Bitter End),
TT Sp Ed,"16,17",Battle Game,Battle for Helms Deep (Conclusions),
TT Sp Ed,"18,19,20",Painting Workshop,Gandalf the White,
TT Sp Ed,21,Painting Workshop,Shadowfax,
TT Sp Ed,,,,Gandalf on Shadowfax
Issue Number,Page No's,Magazine Section,Article Title,Figure(s)
16,1,Guide to Middle-earth,"Ugluk, Captain of the Uruk-hai",
16,"2,3,4,5",Playing the Game,The Forces of Isengard,
16,"6,7,8,9,10,11,12,13",Battle Game,The Gap of Rohan (Turns 6-12),
16,"14,15,16,17",Painting Workshop,Ugluk,
16,"18,19,20,21",Modelling Workshop,Outcrops and Ridges,
16,,,,Ugluk
Issue Number,Page No's,Magazine Section,Article Title,Figure(s)
17,1,Guide to Middle-earth,"Grishnakh, Champion of Mordor",
17,"2,3,4,5",Playing the Game,Creating Scenarios,
17,"6,7,8,9,10,11",Battle Game,A Thief in the Night,
17,"12,13,14,15",Painting Workshop,Grishnakh,
17,"16,17,18,19,20,21",Modelling Workshop,Fangorn Forest,
17,,,,Grishnakh + Card Insert
Issue Number,Page No's,Magazine Section,Article Title,Figure(s)
18,1,Guide to Middle-earth,"Eomer, Marshall of the Riddermark",
18,"2,3,4,5,6,7",Playing the Game,The Forces of Rohan,
18,"8,9,10,11,12,13",Battle Game,The Wrath of Rohan,
18,"14,15,16,17",Painting Workshop,Eomer,
18,"18,19,20,21",Modelling Workshop,Wilderness Campsite,
18,,,,Mounted Eomer
Issue Number,Page No's,Magazine Section,Article Title,Figure(s)
19,1,Guide to Middle-earth,The Walls of Moria,
19,"2,3,4,5",Playing the Game,Linking Battle Games,
19,"6,7,8,9,10,11",Battle Game,The Watcher in the Water,
19,"12,13,14,15",Painting Workshop,Colour Palettes,
19,"16,17,18,19,20,21",Modelling Workshop,Lakes and Shores,
19,,,,None but Card Insert
Issue Number,Page No's,Magazine Section,Article Title,Figure(s)
20,1,Guide to Middle-earth,The Mines of Moria,
20,"2,3,4,5",Playing the Game,The Forces of Moria,
20,"6,7,8,9",Battle Game,Lost in the Dark,
20,"10,11,12,13",Painting Workshop,Moria Goblins,
20,"14,15,16,17,18,19,20,21",Modelling Workshop,Dwarven Mines,
20,,,,12 Moria Goblins
Issue Number,Page No's,Magazine Section,Article Title,Figure(s)
21,1,Guide to Middle-earth,"Gimli, Dwarven Hero",
21,"2,3",Playing the Game,Warriors of the Fellowship,
21,"4,5,6,7",Battle Game,Balin's Tomb,
21,"8,9,10,11",Painting Workshop,Gimli,
21,"12,13,14,15,16,17,18,19,20,21",Modelling Workshop,Balin's Tomb,
21,,,,Gimli + Card Insert
Issue Number,Page No's,Magazine Section,Article Title,Figure(s)
22,1,Guide to Middle-earth,The Bridge of Khazad-dum,
22,"2,3,4,5",Playing the Game,Theming your Forces,
22,"6,7,8,9",Battle Game,The Bridge of Khazad-dum,
22,"10,11",Battle Game,The Moria Champaign,
22,"12,13,14,15",Painting Workshop,Painting Armies,
22,"16,17,18,19,20,21",Modelling Workshop,Khazad-dum,
22,,,,Moria Ruins
Issue Number,Page No's,Magazine Section,Article Title,Figure(s)
23,1,Guide to Middle-earth,The Realm of Gondor,
23,"2,3,4,5",Playing the Game,Forces of Gondor,
23,"6,7,8,9,10,11,12,13,14,15",Battle Game,Open War ! (Turns 1- 3),
23,"16,17",Painting Workshop,Warriors of Minas Tirith,
23,"18,19,20,21",Modelling Workshop,Tools and Materials,
23,,,,12 Warriors of Minas Tirith
Issue Number,Page No's,Magazine Section,Article Title,Figure(s)
24,1,Guide to Middle-earth,The Lands of Mordor,
24,"2,3,4,5",Playing the Game,Forces of Mordor,
24,"6,7,8,9,10,11,12,13",Battle Game,Open War ! (Turns 4-6),
24,"14,15,16,17",Painting Workshop,Mordor Orcs,
24,"18,19,20,21",Modelling Workshop,The Bits Box,
24,,,,12 Mordor Orcs
Issue Number,Page No's,Magazine Section,Article Title,Figure(s)
25,1,Guide to Middle-earth,Concerning Hobbits,
25,"2,3",Guide to Middle-earth,Sam and Frodo's Journey,
25,"4,5,6,7",Playing the Game,Hobbits of the Shire,
25,"8,9,10,11",Battle Game,Escape from Osgiliath,
25,"12,13,14,15",Painting Workshop,Samwise Gamgee,
25,"16,17,18,19,20,21",Modelling Workshop,Osgiliath Sewers,
25,,,,Sam
Issue Number,Page No's,Magazine Section,Article Title,Figure(s)
26,1,Guide to Middle-earth,Rangers of Gondor,
26,"2,3,4,5",Playing the Game,Lords of Gondor,
26,"6,7",Playing the Game,Volley Fire,
26,"8,9,10,11",Battle Game,Ambush in Ithilien,
26,"12,13,14,15",Painting Workshop,Faramir,
26,"16,17,18,19,20,21",Modelling Workshop,Pathways and Roads,
26,,,,Faramir + Card Insert
Issue Number,Page No's,Magazine Section,Article Title,Figure(s)
